Current	Voltage	Temperature	Resistance
1.00058617e-05	-7.98900758e-07	98.9926005	-0.07984327406803954
1.0005678e-05	-9.11136864e-07	99.1933967	-0.09106198140695713
1.00054428e-05	-8.63031595e-07	99.3947666	-0.08625621196894953
1.00051904e-05	-1.3120464e-06	99.6159871	-0.13113657487217836
1.00054238e-05	-1.49905009e-06	99.8571823	-0.149823747595779
1.00051671e-05	-1.849793e-08	100.083911	-0.0018488376870787093
1.00049473e-05	-1.05013171e-06	100.346229	-0.10496124352399137
1.000499e-05	-1.06608546e-06	100.606246	-0.10655537486794091
1.00051303e-05	-5.05934643e-08	100.88334	-0.005056752164437079
1.0005537e-05	-1.14805368e-07	101.192219	-0.01147418354457137
1.00050349e-05	-8.84403917e-07	101.490432	-0.08839588525573258
1.000495549999e-05	-1.51517576e-06	101.804462	-0.15144252865507643
